t,pop,avg_viruses,virus_1_cnt,virus_1_genome
221,121,0.46281,56,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
222,121,0.454545,55,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
223,120,0.441667,53,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
224,119,0.445378,53,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
225,119,0.445378,53,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
226,119,0.445378,53,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
227,119,0.453782,54,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
228,119,0.470588,56,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
229,119,0.462185,55,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
230,119,0.462185,55,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
231,119,0.462185,55,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
232,119,0.445378,53,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
233,119,0.428571,51,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
234,119,0.428571,51,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
235,119,0.420168,50,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
236,119,0.394958,47,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
237,119,0.403361,48,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
238,119,0.394958,47,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
239,119,0.394958,47,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
240,119,0.420168,50,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
241,119,0.428571,51,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
242,119,0.428571,51,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
243,118,0.415254,49,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
244,118,0.432203,51,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
245,118,0.457627,54,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
246,118,0.466102,55,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
247,118,0.457627,54,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
248,117,0.444444,52,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
249,117,0.42735,50,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
250,117,0.42735,50,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
251,117,0.435897,51,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
252,117,0.42735,50,"0.376873,0.456152,0.331735,0.0422126,0.293081,0.113242,0.299503,0.198548,0.404153,0.383247,"
253,116,0.431034,50,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
